dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Genome,Large p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",593.9082,0.9048,841.8810,,,
Genome,Large p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",593.9082,0.9048,841.8810,,,
Genome,Large p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",593.9082,0.9048,841.8810,,,
Genome,Large p_pass,SmartRoute/UNG,6.0048,OK (Recall>=0.9),593.9082,0.9048,841.8810,98.9063,0.9002,5055.2900
Genome,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",181.6643,0.9247,5504.6600,,,
Genome,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",181.6643,0.9247,5504.6600,,,
Genome,Threads=10,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",181.6643,0.9247,5504.6600,,,
Genome,Threads=10,SmartRoute/UNG,3.9576,OK (Recall>=0.9),181.6643,0.9247,5504.6600,45.9031,0.9031,21785.0000
Tiktok,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1741.4291,0.9085,574.2410,,,
Tiktok,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1741.4291,0.9085,574.2410,,,
Tiktok,Mixed,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1741.4291,0.9085,574.2410,,,
Tiktok,Mixed,SmartRoute/UNG,3.2322,OK (Recall>=0.9),1741.4291,0.9085,574.2410,538.7786,0.9006,1856.0500
Tiktok,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",715.6741,0.9090,698.6420,,,
Tiktok,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",715.6741,0.9090,698.6420,,,
Tiktok,Small Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",715.6741,0.9090,698.6420,,,
Tiktok,Small Length,SmartRoute/UNG,2.8923,OK (Recall>=0.9),715.6741,0.9090,698.6420,247.4451,0.9044,2020.6500
Tiktok,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",2393.9137,0.9172,208.8630,,,
Tiktok,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",2393.9137,0.9172,208.8630,,,
Tiktok,Large Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",2393.9137,0.9172,208.8630,,,
Tiktok,Large Length,SmartRoute/UNG,1.5876,OK (Recall>=0.9),2393.9137,0.9172,208.8630,1507.9181,0.9172,331.5830
Tiktok,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",2456.9300,0.9216,203.5060,,,
Tiktok,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",2456.9300,0.9216,203.5060,,,
Tiktok,Small p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",2456.9300,0.9216,203.5060,,,
Tiktok,Small p_pass,SmartRoute/UNG,1.3457,OK (Recall>=0.9),2456.9300,0.9216,203.5060,1825.7104,0.9214,273.8660
Tiktok,Large p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",596.1295,0.9042,838.7440,,,
Tiktok,Large p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",596.1295,0.9042,838.7440,,,
Tiktok,Large p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",596.1295,0.9042,838.7440,,,
Tiktok,Large p_pass,SmartRoute/UNG,2.8513,OK (Recall>=0.9),596.1295,0.9042,838.7440,209.0738,0.9060,2391.5000
Tiktok,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",661.7652,0.9092,1511.1100,,,
